Year,SSP1,SSP2,SSP3,SSP5
2021,1.01089,1.012346,1.015665,1.01775
2022,1.02178,1.024692,1.03133,1.0355
2023,1.03267,1.037038,1.046995,1.05325
2024,1.04356,1.049384,1.06266,1.071
2025,1.05445,1.06173,1.078325,1.08875
2026,1.06534,1.074076,1.09399,1.1065
2027,1.07623,1.086422,1.109655,1.12425
2028,1.08712,1.098768,1.12532,1.142
2029,1.09801,1.111114,1.140985,1.15975
2030,1.1089,1.12346,1.15665,1.1775
2031,1.117046,1.135948,1.173787,1.203164
2032,1.125192,1.148436,1.190924,1.228828
2033,1.133338,1.160924,1.208061,1.254492
2034,1.141484,1.173412,1.225198,1.280156
2035,1.14963,1.1859,1.242335,1.30582
2036,1.157776,1.198388,1.259472,1.331484
2037,1.165922,1.210876,1.276609,1.357148
2038,1.174068,1.223364,1.293746,1.382812
2039,1.182214,1.235852,1.310883,1.408476
2040,1.19036,1.24834,1.32802,1.43414
2041,1.194823,1.259463,1.345586,1.470656
2042,1.199286,1.270586,1.363152,1.507172
2043,1.203749,1.281709,1.380718,1.543688
2044,1.208212,1.292832,1.398284,1.580204
2045,1.212675,1.303955,1.41585,1.61672
2046,1.217138,1.315078,1.433416,1.653236
2047,1.221601,1.326201,1.450982,1.689752
2048,1.226064,1.337324,1.468548,1.726268
2049,1.230527,1.348447,1.486114,1.762784
2050,1.23499,1.35957,1.50368,1.7993
2051,1.236178,1.367707,1.522785,1.851555
2052,1.237366,1.375844,1.54189,1.90381
2053,1.238554,1.383981,1.560995,1.956065
2054,1.239742,1.392118,1.5801,2.00832
2055,1.24093,1.400255,1.599205,2.060575
2056,1.242118,1.408392,1.61831,2.11283
2057,1.243306,1.416529,1.637415,2.165085
2058,1.244494,1.424666,1.65652,2.21734
2059,1.245682,1.432803,1.675625,2.269595
2060,1.24687,1.44094,1.69473,2.32185
2061,1.245655,1.4449,1.714338,2.395783
2062,1.24444,1.44886,1.733946,2.469716
2063,1.243225,1.45282,1.753554,2.543649
2064,1.24201,1.45678,1.773162,2.617582
2065,1.240795,1.46074,1.79277,2.691515
2066,1.23958,1.4647,1.812378,2.765448
2067,1.238365,1.46866,1.831986,2.839381
2068,1.23715,1.47262,1.851594,2.913314
2069,1.235935,1.47658,1.871202,2.987247
2070,1.23472,1.48054,1.89081,3.06118
2071,1.231112,1.480834,1.908647,3.16182
2072,1.227504,1.481128,1.926484,3.26246
2073,1.223896,1.481422,1.944321,3.3631
2074,1.220288,1.481716,1.962158,3.46374
2075,1.21668,1.48201,1.979995,3.56438
2076,1.213072,1.482304,1.997832,3.66502
2077,1.209464,1.482598,2.015669,3.76566
2078,1.205856,1.482892,2.033506,3.8663
2079,1.202248,1.483186,2.051343,3.96694
2080,1.19864,1.48348,2.06918,4.06758
2081,1.193019,1.481097,2.085485,4.194424
2082,1.187398,1.478714,2.10179,4.321268
2083,1.181777,1.476331,2.118095,4.448112
2084,1.176156,1.473948,2.1344,4.574956
2085,1.170535,1.471565,2.150705,4.7018
2086,1.164914,1.469182,2.16701,4.828644
2087,1.159293,1.466799,2.183315,4.955488
2088,1.153672,1.464416,2.19962,5.082332
2089,1.148051,1.462033,2.215925,5.209176
2090,1.14243,1.45965,2.23223,5.33602
2091,1.136868,1.455851,2.248219,5.483562
2092,1.131306,1.452052,2.264208,5.631104
2093,1.125744,1.448253,2.280197,5.778646
2094,1.120182,1.444454,2.296186,5.926188
2095,1.11462,1.440655,2.312175,6.07373
2096,1.109058,1.436856,2.328164,6.221272
2097,1.103496,1.433057,2.344153,6.368814
2098,1.097934,1.429258,2.360142,6.516356
2099,1.092372,1.425459,2.376131,6.663898
2100,1.08681,1.42166,2.39212,6.81144
